POINTID,NUTS_0,Lucas2009,Lucas2012,Lucas2015,Lucas2018,Coarse,Clay,Sand,Silt,PSDAvailable,TextureFromSurvey,USDA,ISSS
36882708,FR,YES,NO,YES,YES,3,14,24,62,Yes,2009,silt loam,silty loam
36882676,FR,YES,NO,YES,NO,14,33,12,55,Yes,2009,silty clay loam,silty clay loam
36882640,FR,YES,NO,YES,YES,20,26,41,33,Yes,2009,loam,silty loam
36882622,FR,YES,NO,YES,YES,8,14,52,34,Yes,2009,loam,silty loam
36882430,FR,YES,NO,YES,NO,5,21,49,29,Yes,2009,loam,silty loam
36882406,FR,YES,NO,YES,NO,15,41,13,46,Yes,2009,silty clay,silty clay
36882384,FR,YES,NO,YES,YES,6,23,49,28,Yes,2009,sandy clay loam,silty loam
36882370,FR,YES,NO,YES,YES,7,13,51,35,Yes,2009,loam,silty loam
36882334,FR,YES,NO,YES,YES,29,36,19,45,Yes,2009,silty clay loam,silty clay loam
36882312,FR,NO,NO,NO,YES,,,,,No,,,
36882232,FR,NO,NO,YES,NO,8,41,16,43,Yes,2015,silty clay,silty clay
36882150,ES,NO,NO,YES,YES,33,30,21,49,Yes,2015,clay loam,silty clay loam
36863346,UK,YES,NO,NO,NO,7,13,71,16,Yes,2009,sandy loam,loam
36863314,UK,YES,NO,YES,NO,8,14,70,16,Yes,2009,sandy loam,loam
36863152,UK,YES,NO,YES,NO,42,14,64,22,Yes,2009,sandy loam,loam
36862954,FR,YES,NO,YES,NO,40,7,16,77,Yes,2009,silt loam,silty loam
36862788,FR,YES,NO,YES,YES,22,30,11,59,Yes,2009,silty clay loam,silty clay loam
36862680,FR,YES,NO,NO,NO,4,40,5,55,Yes,2009,silty clay loam,silty clay loam
36862662,FR,YES,NO,YES,YES,4,8,72,20,Yes,2009,sandy loam,loamy sand
36862590,FR,YES,NO,YES,YES,16,19,57,24,Yes,2009,sandy loam,loam
36862464,FR,NO,NO,NO,YES,,,,,No,,,
36862396,FR,YES,NO,YES,YES,3,39,15,46,Yes,2009,silty clay loam,silty clay loam
36862342,FR,YES,NO,NO,NO,26,35,30,35,Yes,2009,clay loam,silty clay loam
36862320,FR,YES,NO,YES,NO,18,42,14,44,Yes,2009,silty clay,silty clay
36862270,FR,YES,NO,YES,YES,33,29,34,37,Yes,2009,clay loam,silty clay loam
36862176,ES,NO,NO,YES,YES,52,11,31,58,Yes,2015,silt loam,silty loam
36862148,ES,NO,NO,YES,YES,21,20,33,47,Yes,2015,loam,silty loam
36843322,UK,YES,NO,NO,NO,10,14,67,19,Yes,2009,sandy loam,loam
36843280,UK,YES,NO,YES,YES,5,12,64,24,Yes,2009,sandy loam,loam
36843250,UK,YES,NO,YES,NO,12,31,25,44,Yes,2009,clay loam,silty clay loam
36842826,FR,YES,NO,YES,YES,14,16,23,61,Yes,2009,silt loam,silty loam
36842772,FR,YES,NO,YES,NO,13,37,9,54,Yes,2009,silty clay loam,silty clay loam
36842746,FR,YES,NO,YES,YES,7,4,76,20,Yes,2009,loamy sand,loamy sand
36842646,FR,YES,NO,YES,YES,18,18,37,45,Yes,2009,loam,silty loam
36842488,FR,YES,NO,YES,YES,5,17,59,24,Yes,2009,sandy loam,loam
36842368,FR,NO,NO,NO,YES,,,,,No,,,
36842362,FR,YES,NO,NO,NO,11,33,38,29,Yes,2009,clay loam,silty clay loam
36842322,FR,YES,NO,NO,NO,23,25,22,53,Yes,2009,silt loam,silty loam
36842308,FR,YES,NO,YES,YES,6,40,26,34,Yes,2009,clay loam,silty clay loam
36842196,FR,NO,NO,YES,NO,64,12,43,45,Yes,2015,loam,silty loam
36842170,ES,NO,NO,YES,YES,22,15,26,58,Yes,2015,silt loam,silty loam
